Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Ship Date,State,Customers,Orders,profit margin,Quantity,Total Profit,Total Sales
Phones,Los Angeles,United States,Jim Sink,18-09-2013,CA-2013-109806,Panasonic Kx-TS550,23-09-2013,California,1,1,0.1125,2,8.2782,73.584
Paper,Los Angeles,United States,Jim Sink,18-09-2013,CA-2013-109806,Xerox 1995,23-09-2013,California,1,1,0.48,1,3.1104,6.48
Binders,Portland,United States,Roger Barcio,07-11-2014,US-2014-109484,Flexible Leather- Look Classic Collection Ring Binder,13-11-2014,Oregon,1,1,-0.666666667,1,-3.788,5.682
Binders,San Francisco,United States,Katherine Ducich,18-06-2014,CA-2014-157833,Trimflex Flexible Post Binders,21-06-2014,California,1,1,0.35,3,17.9592,51.312
Accessories,Aurora,United States,Lena Cacioppo,13-11-2012,US-2012-156867,Logitech K350 2.4Ghz Wireless Keyboard,17-11-2012,Colorado,1,1,-0.1125,6,-26.8758,238.896
Furnishings,Aurora,United States,Lena Cacioppo,13-11-2012,US-2012-156867,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",17-11-2012,Colorado,1,1,-0.0375,3,-3.8385,102.36
Binders,Aurora,United States,Lena Cacioppo,13-11-2012,US-2012-156867,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",17-11-2012,Colorado,1,1,-0.7,3,-25.8174,36.882
Tables,Seattle,United States,Dave Kipp,02-03-2012,CA-2012-110457,Hon Racetrack Conference Tables,06-03-2012,Washington,1,1,0.21,3,165.3813,787.53
Binders,Phoenix,United States,Troy Staebel,06-11-2014,US-2014-107272,"Avery Durable Slant Ring Binders, No Labels",13-11-2014,Arizona,1,1,-0.766666667,2,-1.8308,2.388
Storage,Phoenix,United States,Troy Staebel,06-11-2014,US-2014-107272,"Trav-L-File Heavy-Duty Shuttle II, Black",13-11-2014,Arizona,1,1,0.125,7,30.499,243.992
Chairs,Los Angeles,United States,Lindsay Shagiari,07-11-2013,US-2013-125969,"Global Task Chair, Black",11-11-2013,California,1,1,-0.1125,2,-9.1602,81.424
Furnishings,Los Angeles,United States,Lindsay Shagiari,07-11-2013,US-2013-125969,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,11-11-2013,California,1,1,0.11,3,26.2416,238.56
Paper,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,Xerox 195,20-10-2013,California,1,1,0.48,3,9.6192,20.04
Paper,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,Xerox 1880,20-10-2013,California,1,1,0.47,1,16.6568,35.44
Art,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,"Sanford Colorific Colored Pencils, 12/Box",20-10-2013,California,1,1,0.3,4,3.456,11.52
Fasteners,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,Ideal Clamps,20-10-2013,California,1,1,0.49,2,1.9698,4.02
Binders,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,GBC Wire Binding Strips,20-10-2013,California,1,1,0.35,3,26.6616,76.176
Supplies,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,Fiskars Softgrip Scissors,20-10-2013,California,1,1,0.28,6,18.4464,65.88
Furnishings,Roseville,United States,Lena Creighton,14-10-2013,CA-2013-145583,Longer-Life Soft White Bulbs,20-10-2013,California,1,1,0.48,14,20.6976,43.12
Art,San Francisco,United States,Sally Hughsby,19-09-2014,CA-2014-106180,Newell 343,24-09-2014,California,1,1,0.27,3,2.3814,8.82
Envelopes,San Francisco,United States,Sally Hughsby,19-09-2014,CA-2014-106180,Convenience Packs of Business Envelopes,24-09-2014,California,1,1,0.47,3,5.1042,10.86
Paper,San Francisco,United States,Sally Hughsby,19-09-2014,CA-2014-106180,Xerox 1911,24-09-2014,California,1,1,0.48,3,68.976,143.7
Storage,Pasadena,United States,Helen Andreada,07-09-2012,CA-2012-110744,Safco Industrial Wire Shelving,12-09-2012,California,1,1,0.03,7,20.1579,671.93
Appliances,Scottsdale,United States,Tamara Willingham,14-03-2013,CA-2013-158834,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,17-03-2013,Arizona,1,1,0.1125,5,17.766,157.92
Phones,Scottsdale,United States,Tamara Willingham,14-03-2013,CA-2013-158834,Jabra BIZ 2300 Duo QD Duo CordedÂ Headset,17-03-2013,Arizona,1,1,0.075,2,15.2388,203.184
Paper,San Jose,United States,Stephanie Phelps,31-05-2012,CA-2012-124919,Southworth 25% Cotton Antique Laid Paper & Envelopes,02-06-2012,California,1,1,0.45,7,26.271,58.38
Paper,San Jose,United States,Stephanie Phelps,31-05-2012,CA-2012-124919,Xerox 1883,02-06-2012,California,1,1,0.46,4,48.5392,105.52
Storage,San Jose,United States,Stephanie Phelps,31-05-2012,CA-2012-124919,"Tenex Personal Project File with Scoop Front Design, Black",02-06-2012,California,1,1,0.26,6,21.0288,80.88
Art,Seattle,United States,Neil Knudson,28-05-2012,CA-2012-118948,Newell 311,03-06-2012,Washington,1,1,0.27,3,1.7901,6.63
Chairs,Seattle,United States,Dave Brooks,01-03-2011,CA-2011-104269,Global Deluxe High-Back Manager's Chair,06-03-2011,Washington,1,1,0.1125,2,51.4764,457.568
Paper,Los Angeles,United States,Ted Trevino,12-05-2013,CA-2013-162733,Xerox 1920,13-05-2013,California,1,1,0.45,1,2.691,5.98
Envelopes,Carlsbad,United States,Ruben Dartt,17-11-2013,CA-2013-154508,Staples,21-11-2013,New Mexico,1,1,0.47,5,13.348,28.4
Binders,Seattle,United States,Max Jones,08-11-2013,CA-2013-113817,Wilson Jones International Size A4 Ring Binders,12-11-2013,Washington,1,1,0.35,2,9.688,27.68
Paper,Los Angeles,United States,Chad Sievert,05-08-2011,CA-2011-118962,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â” x 11Â”",09-08-2011,California,1,1,0.47,3,9.8418,20.94
Paper,Los Angeles,United States,Chad Sievert,05-08-2011,CA-2011-118962,Xerox 1913,09-08-2011,California,1,1,0.48,2,53.2608,110.96
Chairs,Los Angeles,United States,Chad Sievert,05-08-2011,CA-2011-118962,"Global Value Steno Chair, Gray",09-08-2011,California,1,1,0.0625,7,21.259,340.144
Accessories,Los Angeles,United States,Frank Merwin,26-08-2011,CA-2011-123260,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,30-08-2011,California,1,1,0.13,8,22.984,176.8
Envelopes,Redlands,United States,Mary Zewe,31-10-2012,CA-2012-131457,Poly String Tie Envelopes,06-11-2012,California,1,1,0.47,7,6.7116,14.28
Tables,Denver,United States,Bruce Stewart,03-08-2011,CA-2011-133690,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,05-08-2011,Colorado,1,1,-0.74,2,-161.875,218.75
Appliances,Denver,United States,Bruce Stewart,03-08-2011,CA-2011-133690,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",05-08-2011,Colorado,1,1,0.1125,1,0.2925,2.6
Phones,Whittier,United States,Laurel Elliston,10-12-2014,CA-2014-108329,Nortel Business Series Terminal T7208 Digital phone,15-12-2014,California,1,1,0.1,4,44.4768,444.768
Storage,Los Angeles,United States,Jonathan Howell,29-10-2013,CA-2013-130162,"Personal Filing Tote with Lid, Black/Gray",02-11-2013,California,1,1,0.28,6,26.0568,93.06
Phones,Los Angeles,United States,Jonathan Howell,29-10-2013,CA-2013-130162,Adtran 1202752G1,02-11-2013,California,1,1,0.075,3,22.6782,302.376
Paper,Santa Clara,United States,David Bremer,13-11-2014,CA-2014-160514,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),17-11-2014,California,1,1,0.45,2,4.752,10.56
Chairs,San Francisco,United States,Logan Haushalter,11-12-2013,CA-2013-154739,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",16-12-2013,California,1,1,0.0875,2,28.1372,321.568
Paper,San Diego,United States,Kelly Collister,12-09-2013,CA-2013-145625,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",18-09-2013,California,1,1,0.47,1,3.5767,7.61
Accessories,San Diego,United States,Kelly Collister,12-09-2013,CA-2013-145625,LogitechÂ P710e Mobile Speakerphone,18-09-2013,California,1,1,0.19,13,636.0003,3347.37
Accessories,Brentwood,United States,Alan Hwang,10-11-2012,CA-2012-155040,Microsoft Sculpt Comfort Mouse,15-11-2012,California,1,1,0.44,2,35.156,79.9
Storage,San Francisco,United States,Kristen Hastings,29-12-2014,CA-2014-163979,Adjustable Depth Letter/Legal Cart,03-01-2015,California,1,1,0.29,4,210.4936,725.84
Accessories,San Francisco,United States,Helen Andreada,30-07-2012,CA-2012-155334,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,31-07-2012,California,1,1,0.44,7,92.3692,209.93
Furnishings,San Francisco,United States,Helen Andreada,30-07-2012,CA-2012-155334,Regeneration Desk Collection,31-07-2012,California,1,1,0.44,3,2.3232,5.28
Binders,San Francisco,United States,Helen Andreada,30-07-2012,CA-2012-155334,Presstex Flexible Ring Binders,31-07-2012,California,1,1,0.375,3,4.095,10.92
Paper,Inglewood,United States,Barry Blumstein,17-09-2014,CA-2014-118136,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",18-09-2014,California,1,1,0.46,2,4.0572,8.82
Art,Inglewood,United States,Barry Blumstein,17-09-2014,CA-2014-118136,Newell 330,18-09-2014,California,1,1,0.26,1,1.5548,5.98
Tables,Los Angeles,United States,Jas O'Carroll,02-11-2012,CA-2012-130890,"Bevis Round Bullnose 29"" High Table Top",06-11-2012,California,1,1,0.05,5,51.942,1038.84
Paper,Portland,United States,Tracy Blumstein,26-09-2012,CA-2012-130883,Staples,02-10-2012,Oregon,1,1,0.3375,5,47.844,141.76
Accessories,Portland,United States,Tracy Blumstein,26-09-2012,CA-2012-130883,Microsoft Arc Touch Mouse,02-10-2012,Oregon,1,1,0.2,5,47.96,239.8
Paper,Portland,United States,Tracy Blumstein,26-09-2012,CA-2012-130883,Xerox 216,02-10-2012,Oregon,1,1,0.35,6,10.8864,31.104
Furnishings,Colorado Springs,United States,Kelly Lampkin,26-12-2011,CA-2011-111451,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",28-12-2011,Colorado,1,1,0.2625,8,78.8592,300.416
Chairs,Colorado Springs,United States,Kelly Lampkin,26-12-2011,CA-2011-111451,Global Deluxe Office Fabric Chairs,28-12-2011,Colorado,1,1,0.0875,3,20.1558,230.352
Furnishings,Colorado Springs,United States,Kelly Lampkin,26-12-2011,CA-2011-111451,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,28-12-2011,Colorado,1,1,-0.1125,3,-24.5646,218.352
Binders,Colorado Springs,United States,Kelly Lampkin,26-12-2011,CA-2011-111451,Ibico Laser Imprintable Binding System Covers,28-12-2011,Colorado,1,1,-0.8,5,-62.88,78.6
Fasteners,Colorado Springs,United States,Kelly Lampkin,26-12-2011,CA-2011-111451,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",28-12-2011,Colorado,1,1,0.3375,3,9.2988,27.552
Furnishings,Arvada,United States,Ben Peterman,13-09-2013,CA-2013-142902,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15-09-2013,Colorado,1,1,0.2375,4,3.5948,15.136
Chairs,Arvada,United States,Ben Peterman,13-09-2013,CA-2013-142902,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,15-09-2013,Colorado,1,1,0.1125,2,52.5114,466.768
Furnishings,Arvada,United States,Ben Peterman,13-09-2013,CA-2013-142902,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15-09-2013,Colorado,1,1,0.1125,1,1.7136,15.232
Labels,Arvada,United States,Ben Peterman,13-09-2013,CA-2013-142902,Avery 509,15-09-2013,Colorado,1,1,0.325,3,2.0358,6.264
Fasteners,Long Beach,United States,Frank Atkinson,19-09-2011,CA-2011-156601,OIC Binder Clips,24-09-2011,California,1,1,0.5,2,3.58,7.16
Binders,Hesperia,United States,Grace Kelly,24-04-2013,CA-2013-162138,Ibico Laser Imprintable Binding System Covers,28-04-2013,California,1,1,0.325,6,81.744,251.52
Accessories,Hesperia,United States,Grace Kelly,24-04-2013,CA-2013-162138,Logitech Wireless Headset h800,28-04-2013,California,1,1,0.35,1,34.9965,99.99
Binders,Los Angeles,United States,Doug Bickford,01-09-2012,CA-2012-137946,Storex Dura Pro Binders,04-09-2012,California,1,1,0.3375,1,1.6038,4.752
Copiers,Los Angeles,United States,Doug Bickford,01-09-2012,CA-2012-137946,Hewlett Packard LaserJet 3310 Copier,04-09-2012,California,1,1,0.35,2,335.9944,959.984
Binders,Los Angeles,United States,Doug Bickford,01-09-2012,CA-2012-137946,Avery Non-Stick Binders,04-09-2012,California,1,1,0.3125,4,4.49,14.368
Binders,San Francisco,United States,Alyssa Crouse,12-07-2011,CA-2011-129924,Tuff Stuff Recycled Round Ring Binders,17-07-2011,California,1,1,0.3625,2,2.7956,7.712
Tables,San Francisco,United States,Alyssa Crouse,12-07-2011,CA-2011-129924,Hon 5100 Series Wood Tables,17-07-2011,California,1,1,-0.025,3,-17.4588,698.352
Fasteners,Layton,United States,Ken Lonsdale,22-06-2012,CA-2012-128167,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",26-06-2012,Utah,1,1,0.47,4,2.3312,4.96
Phones,San Francisco,United States,Clay Cheatham,16-06-2014,CA-2014-169901,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,20-06-2014,California,1,1,0.1,3,4.7976,47.976
Storage,San Francisco,United States,Julia Dunbar,24-09-2011,CA-2011-123344,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",29-09-2011,California,1,1,0.04,4,8.4784,211.96
Binders,Tucson,United States,Arthur Gainer,23-07-2011,US-2011-119137,Wilson Jones Custom Binder Spines & Labels,27-07-2011,Arizona,1,1,-0.7,5,-5.712,8.16
Accessories,Tucson,United States,Arthur Gainer,23-07-2011,US-2011-119137,NETGEAR AC1750 Dual Band GigabitÂ Smart WiFi Router,27-07-2011,Arizona,1,1,0.175,8,179.1888,1023.936
Art,Tucson,United States,Arthur Gainer,23-07-2011,US-2011-119137,Newell 324,27-07-2011,Arizona,1,1,0.1,1,0.924,9.24
Accessories,Tucson,United States,Arthur Gainer,23-07-2011,US-2011-119137,Microsoft Natural Keyboard Elite,27-07-2011,Arizona,1,1,-0.0625,10,-29.94,479.04
Paper,San Francisco,United States,Alejandro Savely,29-10-2013,CA-2013-134775,Southworth Structures Collection,30-10-2013,California,1,1,0.5,7,25.48,50.96
Binders,San Francisco,United States,Alejandro Savely,29-10-2013,CA-2013-134775,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",30-10-2013,California,1,1,0.35,3,17.3376,49.536
Phones,Des Moines,United States,Jack Garza,21-09-2011,US-2011-135972,Nortel Meridian M3904 Professional Digital phone,23-09-2011,Washington,1,1,0.1125,2,27.7182,246.384
Copiers,Des Moines,United States,Jack Garza,21-09-2011,US-2011-135972,Canon PC1080F Personal Copier,23-09-2011,Washington,1,1,0.39,3,701.9883,1799.97
Binders,Las Vegas,United States,Victor Preis,01-07-2014,CA-2014-102946,Tuf-Vin Binders,06-07-2014,Nevada,1,1,0.3375,3,25.5798,75.792
Accessories,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,Sony 64GB Class 10 Micro SDHC R40 Memory Card,13-12-2014,California,1,1,0.21,5,37.7895,179.95
Copiers,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,Sharp AL-1530CS Digital Copier,13-12-2014,California,1,1,0.3625,3,434.9913,1199.976
Paper,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,"Wirebound Message Book, 4 per Page",13-12-2014,California,1,1,0.49,5,13.3035,27.15
Tables,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,"Bevis Round Conference Table Top, X-Base",13-12-2014,California,1,1,-0.1125,7,-112.9527,1004.024
Paper,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,"Wirebound Service Call Books, 5 1/2"" x 4""",13-12-2014,California,1,1,0.48,1,4.6464,9.68
Labels,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,Self-Adhesive Removable Labels,13-12-2014,California,1,1,0.48,9,13.608,28.35
Paper,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,Xerox 1908,13-12-2014,California,1,1,0.49,1,27.4302,55.98
Bookcases,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,O'Sullivan 4-Shelf Bookcase in Odessa Pine,13-12-2014,California,1,1,0.023529412,13,31.4548,1336.829
Chairs,San Francisco,United States,Keith Herrera,09-12-2014,CA-2014-117457,Novimex High-Tech Fabric Mesh Task Chair,13-12-2014,California,1,1,-0.1625,2,-18.4548,113.568
Paper,Seattle,United States,Kimberly Carter,04-11-2014,CA-2014-142636,Xerox 191,08-11-2014,Washington,1,1,0.47,7,65.7342,139.86
Chairs,Seattle,United States,Kimberly Carter,04-11-2014,CA-2014-142636,Global Deluxe Office Fabric Chairs,08-11-2014,Washington,1,1,0.0875,4,26.8744,307.136
Art,Huntington Beach,United States,Caroline Jumper,25-06-2014,CA-2014-122105,Bulldog Vacuum Base Pencil Sharpener,29-06-2014,California,1,1,0.27,8,25.8984,95.92
Chairs,Los Angeles,United States,Philip Brown,15-04-2013,CA-2013-148796,Bevis Steel Folding Chairs,19-04-2013,California,1,1,0.1,5,38.38,383.8
Art,Los Angeles,United States,Sung Pak,05-03-2014,CA-2014-110478,American Pencil,10-03-2014,California,1,1,0.29,4,2.7028,9.32
Envelopes,Los Angeles,United States,Sung Pak,05-03-2014,CA-2014-110478,"White Envelopes, White Envelopes with Clear Poly Window",10-03-2014,California,1,1,0.46,1,7.015,15.25
Accessories,Louisville,United States,Joel Eaton,22-06-2011,CA-2011-142048,KeyTronicÂ 6101 Series -Â KeyboardÂ - Black,25-06-2011,Colorado,1,1,0.2875,6,56.5662,196.752
Chairs,Concord,United States,Sanjit Chand,13-02-2011,US-2011-110674,"Global Geo Office Task Chair, Gray",19-02-2011,California,1,1,-0.1875,2,-24.294,129.568
Appliances,Seattle,United States,Joseph Holt,15-12-2012,CA-2012-109638,3M Office Air Cleaner,22-12-2012,Washington,1,1,0.35,4,36.372,103.92
Accessories,Seattle,United States,Joseph Holt,15-12-2012,CA-2012-109638,Logitech G700s Rechargeable Gaming Mouse,22-12-2012,Washington,1,1,0.42,9,377.9622,899.91
Binders,Seattle,United States,Joseph Holt,15-12-2012,CA-2012-109638,Acco D-Ring Binder w/DublLock,22-12-2012,Washington,1,1,0.3625,3,18.6006,51.312
Furnishings,Phoenix,United States,Tanja Norvell,23-04-2013,CA-2013-109869,Eldon Wave Desk Accessories,30-04-2013,Arizona,1,1,0.3,5,7.068,23.56
Tables,Phoenix,United States,Tanja Norvell,23-04-2013,CA-2013-109869,Bush Advantage Collection Racetrack Conference Table,30-04-2013,Arizona,1,1,-0.64,6,-814.4832,1272.63
Binders,Phoenix,United States,Tanja Norvell,23-04-2013,CA-2013-109869,Poly Designer Cover & Back,30-04-2013,Arizona,1,1,-0.733333333,5,-20.889,28.485
Supplies,Phoenix,United States,Tanja Norvell,23-04-2013,CA-2013-109869,Premier Electric Letter Opener,30-04-2013,Arizona,1,1,-0.1875,2,-34.758,185.376
Appliances,Phoenix,United States,Tanja Norvell,23-04-2013,CA-2013-109869,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",30-04-2013,Arizona,1,1,0.075,2,5.8704,78.272
Storage,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,SAFCO Boltless Steel Shelving,11-11-2011,California,1,1,0.01,3,3.4092,340.92
Bookcases,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,"Sauder Mission Library with Doors, Fruitwood Finish",11-11-2011,California,1,1,0.047058824,2,10.4784,222.666
Phones,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,Samsung Galaxy Note 3,11-11-2011,California,1,1,0.125,4,87.996,703.968
Storage,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,"Decoflex Hanging Personal Folder File, Blue",11-11-2011,California,1,1,0.27,6,24.9804,92.52
Paper,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",11-11-2011,California,1,1,0.46,7,28.819,62.65
Paper,San Francisco,United States,Jeremy Pistek,09-11-2011,CA-2011-144666,Xerox 1912,11-11-2011,California,1,1,0.48,5,45.528,94.85
Phones,Los Angeles,United States,Kristen Hastings,13-07-2013,CA-2013-103891,Cisco SPA525G2 IP Phone - Wireless,20-07-2013,California,1,1,0.075,6,7.182,95.76
Accessories,San Diego,United States,Xylona Preis,06-10-2011,CA-2011-134677,ImationÂ USB 2.0 SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 4 GB - Pink,10-10-2011,California,1,1,0.21,3,1.9089,9.09
Labels,Los Angeles,United States,Michelle Tran,11-06-2014,CA-2014-140963,Alphabetical Labels for Top Tab Filing,14-06-2014,California,1,1,0.5,2,14.8,29.6
Bookcases,Los Angeles,United States,Michelle Tran,11-06-2014,CA-2014-140963,O'Sullivan Living Dimensions 2-Shelf Bookcases,14-06-2014,California,1,1,-0.058823529,5,-30.245,514.165
Phones,Los Angeles,United States,Michelle Tran,11-06-2014,CA-2014-140963,iHome FM Clock Radio with Lightning Dock,14-06-2014,California,1,1,0.0625,5,17.4975,279.96
Accessories,Seattle,United States,Sonia Sunley,10-05-2013,CA-2013-169166,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,15-05-2013,Washington,1,1,0.14,2,13.1572,93.98
Binders,Costa Mesa,United States,Sanjit Chand,26-07-2013,CA-2013-126158,Clear Mylar Reinforcing Strips,01-08-2013,California,1,1,0.3375,8,40.3704,119.616
Furnishings,Costa Mesa,United States,Sanjit Chand,26-07-2013,CA-2013-126158,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",01-08-2013,California,1,1,0.32,4,81.8432,255.76
Chairs,Costa Mesa,United States,Sanjit Chand,26-07-2013,CA-2013-126158,DMI Arturo Collection Mission-style Design Wood Chair,01-08-2013,California,1,1,0.075,2,18.1176,241.568
Furnishings,Costa Mesa,United States,Sanjit Chand,26-07-2013,CA-2013-126158,Deflect-O Glasstique Clear Desk Accessories,01-08-2013,California,1,1,0.33,9,22.869,69.3
Binders,Parker,United States,Maribeth Yedwab,31-05-2013,US-2013-105578,Vinyl Sectional Post Binders,05-06-2013,Colorado,1,1,-0.666666667,2,-15.08,22.62
Binders,Parker,United States,Maribeth Yedwab,31-05-2013,US-2013-105578,GBC Standard Therm-A-Bind Covers,05-06-2013,Colorado,1,1,-0.8,2,-11.9616,14.952
